country,coffee_type,year_raw,value,year
Yemen,Arabica,1996/97,0,1996
Angola,Robusta/Arabica,1997/98,2400000,1997
Bolivia (Plurinational State of),Arabica,1997/98,1950000,1997
Brazil,Arabica/Robusta,1997/98,690000000,1997
Burundi,Arabica/Robusta,1997/98,120000,1997
Ecuador,Arabica/Robusta,1997/98,18000000,1997
Indonesia,Robusta/Arabica,1997/98,91920000,1997
Madagascar,Robusta,1997/98,10020000,1997
Malawi,Arabica,1997/98,120000,1997
Papua New Guinea,Arabica/Robusta,1997/98,120000,1997
Paraguay,Arabica,1997/98,1200000,1997
Peru,Arabica,1997/98,12000000,1997
Rwanda,Arabica,1997/98,180000,1997
Timor-Leste,Arabica,1997/98,0,1997
Zimbabwe,Arabica,1997/98,240000,1997
Congo,Robusta,1997/98,180000,1997
Cuba,Arabica,1997/98,11700000,1997
Dominican Republic,Arabica/Robusta,1997/98,19500000,1997
Haiti,Arabica,1997/98,19800000,1997
Philippines,Robusta/Arabica,1997/98,51180000,1997
Tanzania,Arabica/Robusta,1997/98,1020000,1997
Zambia,Arabica,1997/98,36000,1997
Cameroon,Robusta/Arabica,1997/98,6000000,1997
Central African Republic,Robusta,1997/98,600000,1997
Colombia,Arabica,1997/98,79680000,1997
Costa Rica,Arabica,1997/98,22500000,1997
Côte d'Ivoire,Robusta,1997/98,3000000,1997
Democratic Republic of Congo,Robusta/Arabica,1997/98,12000000,1997
El Salvador,Arabica,1997/98,11500020,1997
Equatorial Guinea,Robusta,1997/98,0,1997
Ethiopia,Arabica,1997/98,103440000,1997
Gabon,Robusta,1997/98,48000,1997
Ghana,Robusta,1997/98,180000,1997
Guatemala,Arabica/Robusta,1997/98,18000000,1997
Guinea,Robusta,1997/98,3000000,1997
Guyana,Robusta,1997/98,0,1997
Honduras,Arabica,1997/98,9660000,1997
India,Robusta/Arabica,1997/98,50340000,1997
Jamaica,Arabica,1997/98,1200000,1997
Kenya,Arabica,1997/98,3000000,1997
Lao People's Democratic Republic,Robusta,1997/98,0,1997
Liberia,Robusta,1997/98,300000,1997
Mexico,Arabica/Robusta,1997/98,72060000,1997
Nepal,Arabica,1997/98,0,1997
Nicaragua,Arabica,1997/98,7380000,1997
Nigeria,Robusta,1997/98,2400000,1997
Panama,Arabica,1997/98,4836900,1997
Sierra Leone,Robusta,1997/98,300000,1997
Sri Lanka,Robusta/Arabica,1997/98,1200000,1997
Thailand,Robusta/Arabica,1997/98,23400000,1997
Togo,Robusta,1997/98,60000,1997
Trinidad & Tobago,Robusta,1997/98,840000,1997
Uganda,Robusta/Arabica,1997/98,6071400,1997
Venezuela,Arabica,1997/98,62736599,1997
Viet Nam,Robusta/Arabica,1997/98,18843480,1997
Yemen,Arabica,1997/98,0,1997
Angola,Robusta/Arabica,1998/99,1800000,1998
Bolivia (Plurinational State of),Arabica,1998/99,1980000,1998
Brazil,Arabica/Robusta,1998/99,732000000,1998
Burundi,Arabica/Robusta,1998/99,120000,1998
Ecuador,Arabica/Robusta,1998/99,18000000,1998
Indonesia,Robusta/Arabica,1998/99,94680000,1998
Madagascar,Robusta,1998/99,10020000,1998
Malawi,Arabica,1998/99,120000,1998
Papua New Guinea,Arabica/Robusta,1998/99,60000,1998
Paraguay,Arabica,1998/99,1200000,1998
Peru,Arabica,1998/99,12000000,1998
Rwanda,Arabica,1998/99,180000,1998
Timor-Leste,Arabica,1998/99,0,1998
Zimbabwe,Arabica,1998/99,240000,1998
Congo,Robusta,1998/99,180000,1998
Cuba,Arabica,1998/99,12000000,1998
Dominican Republic,Arabica/Robusta,1998/99,19500000,1998
Haiti,Arabica,1998/99,19800000,1998
Philippines,Robusta/Arabica,1998/99,48600000,1998
Tanzania,Arabica/Robusta,1998/99,1020000,1998
Zambia,Arabica,1998/99,36000,1998
Cameroon,Robusta/Arabica,1998/99,6000000,1998
Central African Republic,Robusta,1998/99,1140000,1998
Colombia,Arabica,1998/99,78720000,1998
Costa Rica,Arabica,1998/99,22500000,1998
Côte d'Ivoire,Robusta,1998/99,3000000,1998
Democratic Republic of Congo,Robusta/Arabica,1998/99,12000000,1998
El Salvador,Arabica,1998/99,11500020,1998
Equatorial Guinea,Robusta,1998/99,0,1998
Ethiopia,Arabica,1998/99,108960000,1998
Gabon,Robusta,1998/99,48000,1998
Ghana,Robusta,1998/99,60000,1998
Guatemala,Arabica/Robusta,1998/99,18000000,1998
Guinea,Robusta,1998/99,3000000,1998
Guyana,Robusta,1998/99,292020,1998
Honduras,Arabica,1998/99,8280000,1998
India,Robusta/Arabica,1998/99,54000000,1998
Jamaica,Arabica,1998/99,888000,1998
Kenya,Arabica,1998/99,3000000,1998
Lao People's Democratic Republic,Robusta,1998/99,0,1998
Liberia,Robusta,1998/99,300000,1998
Mexico,Arabica/Robusta,1998/99,66480000,1998
Nepal,Arabica,1998/99,0,1998
Nicaragua,Arabica,1998/99,7590000,1998
Nigeria,Robusta,1998/99,2400000,1998
Panama,Arabica,1998/99,4020000,1998
Sierra Leone,Robusta,1998/99,300000,1998
Sri Lanka,Robusta/Arabica,1998/99,1800000,1998
Thailand,Robusta/Arabica,1998/99,25980000,1998
Togo,Robusta,1998/99,120000,1998
Trinidad & Tobago,Robusta,1998/99,840000,1998
Uganda,Robusta/Arabica,1998/99,6960000,1998
Venezuela,Arabica,1998/99,65390400,1998
Viet Nam,Robusta/Arabica,1998/99,19891140,1998
Yemen,Arabica,1998/99,0,1998
Angola,Robusta/Arabica,1999/00,1200000,1999
Bolivia (Plurinational State of),Arabica,1999/00,2040000,1999
Brazil,Arabica/Robusta,1999/00,762000000,1999
Burundi,Arabica/Robusta,1999/00,120000,1999
Ecuador,Arabica/Robusta,1999/00,13800000,1999
Indonesia,Robusta/Arabica,1999/00,97560000,1999
Madagascar,Robusta,1999/00,3360000,1999
Malawi,Arabica,1999/00,60000,1999
Papua New Guinea,Arabica/Robusta,1999/00,120000,1999
Paraguay,Arabica,1999/00,1200000,1999
Peru,Arabica,1999/00,12000000,1999
Rwanda,Arabica,1999/00,120000,1999
Timor-Leste,Arabica,1999/00,0,1999
Zimbabwe,Arabica,1999/00,240000,1999
Congo,Robusta,1999/00,180000,1999
Cuba,Arabica,1999/00,12000000,1999
Dominican Republic,Arabica/Robusta,1999/00,19500000,1999
Haiti,Arabica,1999/00,20400000,1999
Philippines,Robusta/Arabica,1999/00,51720000,1999
Tanzania,Arabica/Robusta,1999/00,840000,1999
Zambia,Arabica,1999/00,36000,1999
Cameroon,Robusta/Arabica,1999/00,6000000,1999
Central African Republic,Robusta,1999/00,1260000,1999
Colombia,Arabica,1999/00,77820000,1999
Costa Rica,Arabica,1999/00,22500000,1999
Côte d'Ivoire,Robusta,1999/00,3000000,1999
Democratic Republic of Congo,Robusta/Arabica,1999/00,12000000,1999
El Salvador,Arabica,1999/00,9198000,1999
Equatorial Guinea,Robusta,1999/00,0,1999
Ethiopia,Arabica,1999/00,114720000,1999
Gabon,Robusta,1999/00,42900,1999
Ghana,Robusta,1999/00,60000,1999
Guatemala,Arabica/Robusta,1999/00,18000000,1999
Guinea,Robusta,1999/00,3000000,1999
Guyana,Robusta,1999/00,261000,1999
Honduras,Arabica,1999/00,10080000,1999
India,Robusta/Arabica,1999/00,55500000,1999
Jamaica,Arabica,1999/00,660000,1999
Kenya,Arabica,1999/00,3000000,1999
Lao People's Democratic Republic,Robusta,1999/00,0,1999
Liberia,Robusta,1999/00,300000,1999
Mexico,Arabica/Robusta,1999/00,69000000,1999
Nepal,Arabica,1999/00,0,1999
Nicaragua,Arabica,1999/00,7818000,1999
Nigeria,Robusta,1999/00,2400000,1999
Panama,Arabica,1999/00,4020000,1999
Sierra Leone,Robusta,1999/00,300000,1999
Sri Lanka,Robusta/Arabica,1999/00,1800000,1999
Thailand,Robusta/Arabica,1999/00,25980000,1999
Togo,Robusta,1999/00,120000,1999
Trinidad & Tobago,Robusta,1999/00,840000,1999
Uganda,Robusta/Arabica,1999/00,7140000,1999
Venezuela,Arabica,1999/00,68156400,1999
Viet Nam,Robusta/Arabica,1999/00,21000000,1999
Yemen,Arabica,1999/00,0,1999
Angola,Robusta/Arabica,2000/01,1200000,2000
Bolivia (Plurinational State of),Arabica,2000/01,2100000,2000
Brazil,Arabica/Robusta,2000/01,792000000,2000
Burundi,Arabica/Robusta,2000/01,120000,2000
Ecuador,Arabica/Robusta,2000/01,12000000,2000
Indonesia,Robusta/Arabica,2000/01,100560000,2000
Madagascar,Robusta,2000/01,5346000,2000
Malawi,Arabica,2000/01,60000,2000
Papua New Guinea,Arabica/Robusta,2000/01,120000,2000
Paraguay,Arabica,2000/01,1200000,2000
Peru,Arabica,2000/01,12000000,2000
Rwanda,Arabica,2000/01,120000,2000
Timor-Leste,Arabica,2000/01,0,2000
Zimbabwe,Arabica,2000/01,240000,2000
Congo,Robusta,2000/01,180000,2000
Cuba,Arabica,2000/01,12780000,2000
Dominican Republic,Arabica/Robusta,2000/01,19500000,2000
Haiti,Arabica,2000/01,20400000,2000
Philippines,Robusta/Arabica,2000/01,49200000,2000
Tanzania,Arabica/Robusta,2000/01,900000,2000
Zambia,Arabica,2000/01,36000,2000
Cameroon,Robusta/Arabica,2000/01,4500000,2000
Central African Republic,Robusta,2000/01,180000,2000
Colombia,Arabica,2000/01,76920000,2000
Costa Rica,Arabica,2000/01,22500000,2000
Côte d'Ivoire,Robusta,2000/01,19000020,2000
Democratic Republic of Congo,Robusta/Arabica,2000/01,12000000,2000
El Salvador,Arabica,2000/01,8640000,2000
Equatorial Guinea,Robusta,2000/01,0,2000
Ethiopia,Arabica,2000/01,120840000,2000
Gabon,Robusta,2000/01,18000,2000
Ghana,Robusta,2000/01,60000,2000
Guatemala,Arabica/Robusta,2000/01,18000000,2000
Guinea,Robusta,2000/01,3000000,2000
Guyana,Robusta,2000/01,112980,2000
Honduras,Arabica,2000/01,13800000,2000
India,Robusta/Arabica,2000/01,58500000,2000
Jamaica,Arabica,2000/01,724020,2000
Kenya,Arabica,2000/01,3000000,2000
Lao People's Democratic Republic,Robusta,2000/01,0,2000
Liberia,Robusta,2000/01,300000,2000
Mexico,Arabica/Robusta,2000/01,78300000,2000
Nepal,Arabica,2000/01,0,2000
Nicaragua,Arabica,2000/01,10495800,2000
Nigeria,Robusta,2000/01,2400000,2000
Panama,Arabica,2000/01,4020000,2000
Sierra Leone,Robusta,2000/01,300000,2000
Sri Lanka,Robusta/Arabica,2000/01,1800000,2000
Thailand,Robusta/Arabica,2000/01,30000000,2000
Togo,Robusta,2000/01,120000,2000
Trinidad & Tobago,Robusta,2000/01,840000,2000
Uganda,Robusta/Arabica,2000/01,8520000,2000
Venezuela,Arabica,2000/01,71039400,2000
Viet Nam,Robusta/Arabica,2000/01,24097500,2000
Yemen,Arabica,2000/01,0,2000
Angola,Robusta/Arabica,2001/02,1200000,2001
Bolivia (Plurinational State of),Arabica,2001/02,2190000,2001
Brazil,Arabica/Robusta,2001/02,815400000,2001
Burundi,Arabica/Robusta,2001/02,120000,2001
Ecuador,Arabica/Robusta,2001/02,12000000,2001
Indonesia,Robusta/Arabica,2001/02,120000000,2001
Madagascar,Robusta,2001/02,7680000,2001
Malawi,Arabica,2001/02,60000,2001
Papua New Guinea,Arabica/Robusta,2001/02,120000,2001
Paraguay,Arabica,2001/02,1200000,2001
Peru,Arabica,2001/02,12000000,2001
Rwanda,Arabica,2001/02,120000,2001
Timor-Leste,Arabica,2001/02,0,2001
Zimbabwe,Arabica,2001/02,240000,2001
Congo,Robusta,2001/02,180000,2001
Cuba,Arabica,2001/02,13200000,2001
Dominican Republic,Arabica/Robusta,2001/02,20411880,2001
Haiti,Arabica,2001/02,20400000,2001
Philippines,Robusta/Arabica,2001/02,49260000,2001
Tanzania,Arabica/Robusta,2001/02,900000,2001
Zambia,Arabica,2001/02,36000,2001
Cameroon,Robusta/Arabica,2001/02,4140000,2001
Central African Republic,Robusta,2001/02,180000,2001
Colombia,Arabica,2001/02,76020000,2001
Costa Rica,Arabica,2001/02,22500000,2001
Côte d'Ivoire,Robusta,2001/02,19000020,2001
Democratic Republic of Congo,Robusta/Arabica,2001/02,12000000,2001
El Salvador,Arabica,2001/02,9198000,2001
Equatorial Guinea,Robusta,2001/02,0,2001
Ethiopia,Arabica,2001/02,127260000,2001
Gabon,Robusta,2001/02,18000,2001
Ghana,Robusta,2001/02,60000,2001
Guatemala,Arabica/Robusta,2001/02,18000000,2001
Guinea,Robusta,2001/02,3000000,2001
Guyana,Robusta,2001/02,250020,2001
Honduras,Arabica,2001/02,12000000,2001
India,Robusta/Arabica,2001/02,64020000,2001
Jamaica,Arabica,2001/02,600000,2001
Kenya,Arabica,2001/02,3000000,2001
Lao People's Democratic Republic,Robusta,2001/02,0,2001
Liberia,Robusta,2001/02,300000,2001
Mexico,Arabica/Robusta,2001/02,90000000,2001
Nepal,Arabica,2001/02,0,2001
Nicaragua,Arabica,2001/02,10639380,2001
Nigeria,Robusta,2001/02,2400000,2001
Panama,Arabica,2001/02,4020000,2001
Sierra Leone,Robusta,2001/02,300000,2001
Sri Lanka,Robusta/Arabica,2001/02,1800000,2001
Thailand,Robusta/Arabica,2001/02,30000000,2001
Togo,Robusta,2001/02,120000,2001
Trinidad & Tobago,Robusta,2001/02,840000,2001
Uganda,Robusta/Arabica,2001/02,8460000,2001
Venezuela,Arabica,2001/02,74044200,2001
Viet Nam,Robusta/Arabica,2001/02,27651900,2001
Yemen,Arabica,2001/02,0,2001
Angola,Robusta/Arabica,2002/03,1200000,2002
Bolivia (Plurinational State of),Arabica,2002/03,2250000,2002
Brazil,Arabica/Robusta,2002/03,825000000,2002
Burundi,Arabica/Robusta,2002/03,120000,2002
Ecuador,Arabica/Robusta,2002/03,9000000,2002
Indonesia,Robusta/Arabica,2002/03,106740000,2002
Madagascar,Robusta,2002/03,13020000,2002
Malawi,Arabica,2002/03,60000,2002
Papua New Guinea,Arabica/Robusta,2002/03,120000,2002
Paraguay,Arabica,2002/03,1200000,2002
Peru,Arabica,2002/03,13200000,2002
Rwanda,Arabica,2002/03,19980,2002
Timor-Leste,Arabica,2002/03,0,2002
Zimbabwe,Arabica,2002/03,240000,2002
Congo,Robusta,2002/03,180000,2002
Cuba,Arabica,2002/03,13440000,2002
Dominican Republic,Arabica/Robusta,2002/03,20411880,2002
Haiti,Arabica,2002/03,20400000,2002
Philippines,Robusta/Arabica,2002/03,49740000,2002
Tanzania,Arabica/Robusta,2002/03,900000,2002
Zambia,Arabica,2002/03,36000,2002
Cameroon,Robusta/Arabica,2002/03,4140000,2002
Central African Republic,Robusta,2002/03,227220,2002
Colombia,Arabica,2002/03,75120000,2002
Costa Rica,Arabica,2002/03,22500000,2002
Côte d'Ivoire,Robusta,2002/03,19000020,2002
Democratic Republic of Congo,Robusta/Arabica,2002/03,12000000,2002
El Salvador,Arabica,2002/03,9198000,2002
Equatorial Guinea,Robusta,2002/03,0,2002
Ethiopia,Arabica,2002/03,134040000,2002
Gabon,Robusta,2002/03,18000,2002
Ghana,Robusta,2002/03,60000,2002
Guatemala,Arabica/Robusta,2002/03,18000000,2002
Guinea,Robusta,2002/03,3000000,2002
Guyana,Robusta,2002/03,261000,2002
Honduras,Arabica,2002/03,12000000,2002
India,Robusta/Arabica,2002/03,67980000,2002
Jamaica,Arabica,2002/03,540000,2002
Kenya,Arabica,2002/03,3000000,2002
Lao People's Democratic Republic,Robusta,2002/03,9480000,2002
Liberia,Robusta,2002/03,300000,2002
Mexico,Arabica/Robusta,2002/03,90000000,2002
Nepal,Arabica,2002/03,0,2002
Nicaragua,Arabica,2002/03,10777440,2002
Nigeria,Robusta,2002/03,2400000,2002
Panama,Arabica,2002/03,4020000,2002
Sierra Leone,Robusta,2002/03,300000,2002
Sri Lanka,Robusta/Arabica,2002/03,1800000,2002
Thailand,Robusta/Arabica,2002/03,30000000,2002
Togo,Robusta,2002/03,120000,2002
Trinidad & Tobago,Robusta,2002/03,840000,2002
Uganda,Robusta/Arabica,2002/03,8400000,2002
Venezuela,Arabica,2002/03,77176200,2002
Viet Nam,Robusta/Arabica,2002/03,31130520,2002
Yemen,Arabica,2002/03,0,2002
Angola,Robusta/Arabica,2003/04,900000,2003
Bolivia (Plurinational State of),Arabica,2003/04,2310000,2003
Brazil,Arabica/Robusta,2003/04,852000000,2003
Burundi,Arabica/Robusta,2003/04,120000,2003
Ecuador,Arabica/Robusta,2003/04,9000000,2003
Indonesia,Robusta/Arabica,2003/04,109980000,2003
Madagascar,Robusta,2003/04,19980000,2003
Malawi,Arabica,2003/04,60000,2003
Papua New Guinea,Arabica/Robusta,2003/04,120000,2003
Paraguay,Arabica,2003/04,1200000,2003
Peru,Arabica,2003/04,13200000,2003
Rwanda,Arabica,2003/04,19980,2003
Timor-Leste,Arabica,2003/04,0,2003
Zimbabwe,Arabica,2003/04,240000,2003
Congo,Robusta,2003/04,180000,2003
Cuba,Arabica,2003/04,13440000,2003
Dominican Republic,Arabica/Robusta,2003/04,20400000,2003
Haiti,Arabica,2003/04,20400000,2003
Philippines,Robusta/Arabica,2003/04,55020000,2003
Tanzania,Arabica/Robusta,2003/04,1620000,2003
Zambia,Arabica,2003/04,36000,2003
Cameroon,Robusta/Arabica,2003/04,4140000,2003
Central African Republic,Robusta,2003/04,227220,2003
Colombia,Arabica,2003/04,74220000,2003
Costa Rica,Arabica,2003/04,22500000,2003
Côte d'Ivoire,Robusta,2003/04,19000020,2003
Democratic Republic of Congo,Robusta/Arabica,2003/04,12000000,2003
El Salvador,Arabica,2003/04,9198000,2003
Equatorial Guinea,Robusta,2003/04,0,2003
Ethiopia,Arabica,2003/04,141180000,2003
Gabon,Robusta,2003/04,18000,2003
Ghana,Robusta,2003/04,60000,2003
Guatemala,Arabica/Robusta,2003/04,18000000,2003
Guinea,Robusta,2003/04,3000000,2003
Guyana,Robusta,2003/04,285000,2003
Honduras,Arabica,2003/04,12000000,2003
India,Robusta/Arabica,2003/04,70020000,2003
Jamaica,Arabica,2003/04,540000,2003
